date,soh_percent,charging_type,temperature_c,voltage_v,cycle_count,anomaly
2024-01-01,99.94,1,35.4,394.2,1,0
2024-01-02,99.79,0,25.2,407.5,2,0
2024-01-03,99.68,0,30.5,404.9,3,0
2024-01-04,99.59,1,22.5,390.0,4,0
2024-01-05,99.56,1,27.6,400.8,5,0
2024-01-06,99.52,0,24.0,382.5,6,1
2024-01-07,99.51,0,25.8,383.1,7,0
2024-01-08,99.38,1,29.8,405.1,8,0
2024-01-09,99.28,0,18.5,393.0,9,0
2024-01-10,99.17,0,41.7,405.3,10,0
2024-01-11,99.16,0,17.0,391.9,11,0
2024-01-12,99.01,1,15.3,381.5,12,0
2024-01-13,98.89,1,34.3,383.2,13,0
2024-01-14,98.85,0,31.3,399.9,14,0
2024-01-15,98.81,1,30.0,402.0,15,0
2024-01-16,98.78,0,30.0,390.3,16,0
2024-01-17,98.72,0,24.9,405.7,17,0
2024-01-18,98.64,1,17.8,382.7,18,0
2024-01-19,98.57,1,25.6,398.6,19,0
2024-01-20,98.52,1,19.6,360.1,20,1
2024-01-21,98.42,1,32.8,392.7,21,0
2024-01-22,98.39,0,23.8,399.7,22,0
2024-01-23,98.34,0,18.4,390.6,23,0
2024-01-24,98.28,0,22.4,395.3,24,0
2024-01-25,98.21,0,28.3,409.2,25,0
2024-01-26,98.09,0,20.5,393.3,26,0
2024-01-27,98.05,1,18.4,407.4,27,0
2024-01-28,97.97,0,26.9,365.5,28,1
2024-01-29,97.87,1,27.0,404.2,29,0
2024-01-30,97.86,1,20.9,413.3,30,0
2024-01-31,97.76,1,21.2,374.2,31,0
2024-02-01,97.73,0,26.9,390.9,32,0
2024-02-02,97.71,0,13.4,404.6,33,0
2024-02-03,97.57,0,13.7,396.8,34,0
2024-02-04,97.42,0,19.3,402.4,35,0
2024-02-05,97.3,1,23.3,392.6,36,0
2024-02-06,97.25,0,27.5,399.5,37,0
2024-02-07,97.22,0,36.8,397.1,38,0
2024-02-08,97.12,1,31.9,410.2,39,0
2024-02-09,97.04,0,23.7,401.1,40,0
2024-02-10,97.02,1,24.8,401.9,41,0
2024-02-11,96.94,1,17.0,394.4,42,0
2024-02-12,96.92,1,24.9,393.6,43,0
2024-02-13,96.79,0,22.7,394.1,44,0
2024-02-14,96.74,0,27.6,402.3,45,0
2024-02-15,96.64,1,18.4,394.1,46,0
2024-02-16,96.58,0,29.2,401.2,47,0
2024-02-17,96.5,1,37.3,419.0,48,0
2024-02-18,96.41,1,24.1,406.9,49,0
2024-02-19,96.38,1,28.2,394.9,50,0
2024-02-20,96.23,0,30.5,410.1,51,0
2024-02-21,96.11,0,21.8,369.3,52,1
2024-02-22,95.97,1,26.8,377.6,53,0
2024-02-23,95.84,0,25.1,387.8,54,0
2024-02-24,95.74,0,25.8,379.2,55,0
2024-02-25,95.6,0,18.8,394.3,56,0
2024-02-26,95.58,1,25.2,398.0,57,0
2024-02-27,95.54,1,29.0,393.7,58,1
2024-02-28,95.53,0,36.6,401.0,59,0
2024-02-29,95.47,0,32.7,395.5,60,0
2024-03-01,95.41,1,42.2,406.0,61,0
2024-03-02,95.36,1,18.9,375.6,62,0
2024-03-03,95.23,0,32.0,400.0,63,0
2024-03-04,95.17,0,26.5,405.3,64,0
2024-03-05,95.13,1,42.5,382.8,65,0
2024-03-06,95.04,1,18.5,409.0,66,0
2024-03-07,95.01,1,18.3,400.9,67,0
2024-03-08,94.89,1,20.2,393.3,68,0
2024-03-09,94.87,0,8.0,403.8,69,0
2024-03-10,94.72,0,20.8,420.1,70,0
2024-03-11,94.6,1,18.9,399.1,71,0
2024-03-12,94.56,1,26.2,399.8,72,0
2024-03-13,94.55,1,27.7,392.7,73,0
2024-03-14,94.43,1,40.0,388.7,74,0
2024-03-15,94.32,0,32.6,405.5,75,0
2024-03-16,94.21,0,20.4,388.5,76,0
2024-03-17,94.09,1,17.8,397.8,77,0
2024-03-18,94.07,1,28.9,392.3,78,0
2024-03-19,94.01,1,14.4,401.8,79,0
2024-03-20,93.98,1,39.7,400.3,80,0
2024-03-21,93.85,1,34.4,407.3,81,0
2024-03-22,93.75,0,21.2,366.0,82,1
2024-03-23,93.7,0,11.3,394.2,83,0
2024-03-24,93.68,0,35.8,358.6,84,1
2024-03-25,93.63,0,24.1,392.4,85,0
2024-03-26,93.57,0,34.9,400.6,86,0
2024-03-27,93.46,0,12.2,404.3,87,0
2024-03-28,93.36,0,20.2,387.5,88,0
2024-03-29,93.22,0,25.0,405.3,89,0
2024-03-30,93.15,0,25.4,410.1,90,0
2024-03-31,93.12,0,21.4,400.7,91,0
2024-04-01,93.01,0,30.0,415.3,92,0
2024-04-02,92.89,1,16.5,388.7,93,0
2024-04-03,92.81,0,23.9,384.0,94,0
2024-04-04,92.69,0,26.0,358.2,95,1
2024-04-05,92.61,0,29.1,411.3,96,0
2024-04-06,92.53,1,30.7,402.8,97,0
2024-04-07,92.46,0,16.0,395.7,98,0
2024-04-08,92.44,1,12.7,399.0,99,0
2024-04-09,92.42,0,35.2,385.0,100,0
2024-04-10,92.4,0,27.7,420.7,101,0
2024-04-11,92.3,0,19.0,397.4,102,0
2024-04-12,92.25,0,37.4,397.2,103,0
2024-04-13,92.17,1,25.9,403.3,104,0
2024-04-14,92.03,1,34.4,400.8,105,0
2024-04-15,91.99,1,25.5,398.2,106,0
2024-04-16,91.92,0,41.5,388.1,107,0
2024-04-17,91.8,0,39.0,400.6,108,0
2024-04-18,91.76,1,23.0,414.7,109,0
2024-04-19,91.74,0,32.8,409.3,110,0
2024-04-20,91.69,0,30.2,411.8,111,0
2024-04-21,91.66,0,35.9,390.7,112,0
2024-04-22,91.52,0,17.3,385.9,113,0
2024-04-23,91.39,1,30.5,394.4,114,0
2024-04-24,91.3,1,33.5,396.2,115,0
2024-04-25,91.16,1,10.9,406.5,116,0
2024-04-26,91.04,0,15.5,378.6,117,0
2024-04-27,91.01,0,8.7,410.8,118,0
2024-04-28,90.87,0,22.8,393.9,119,0
2024-04-29,90.78,0,30.7,391.1,120,0
2024-04-30,90.66,0,37.0,385.2,121,0
2024-05-01,90.53,1,25.6,378.7,122,0
2024-05-02,90.47,1,38.0,403.5,123,0
2024-05-03,90.45,0,14.0,396.0,124,0
2024-05-04,90.4,1,11.4,382.3,125,0
2024-05-05,90.33,1,24.6,382.2,126,0
2024-05-06,90.21,0,28.1,391.7,127,0
2024-05-07,90.08,1,24.7,411.7,128,0
2024-05-08,90.07,0,8.5,392.4,129,0
2024-05-09,89.99,0,24.3,380.0,130,0
2024-05-10,89.92,0,14.6,392.5,131,0
2024-05-11,89.88,1,30.4,392.2,132,0
